State,Abbreviation,City,crime_index,traffic_index,pollution_index,health_care_index,rent_index,property_price_to_income_ratio,safety_index,cpi_index,Code,lakes_count,parks_count,population,min_wage,quality_of_life
Minnesota,MN,Minnetonka,65.56329549363605,125.43581542444902,24.553353734388217,94.44444444444444,33.376929215404616,23.63393643333333,34.43670450636395,75.48588041999176,MN,8,86,49796,10.0,164.16
Idaho,ID,Pocatello,22.352941176470583,51.79083667382802,44.2528735632184,37.03703703703704,18.865220860880868,5.893014820576793,77.6470588235294,75.13566618004927,ID,6,89,54335,7.25,286.04
Texas,TX,Port Arthur,59.92647058823529,105.72559874384592,55.45977011494253,61.1111111111111,27.376606546148945,1.689772513577762,40.0735294117647,75.13535587415356,TX,7,140,54500,7.25,192.41
California,CA,Santa Maria,33.088235294117645,117.55906034151795,40.80459770114943,69.44444444444444,48.909831861543,5.216517094777627,66.91176470588235,73.07203279432348,CA,7,112,99689,13.0,261.05
Colorado,CO,Commerce City,100.0,102.01937208036344,27.29885057471264,86.1111111111111,36.11802968237021,4.880203968327233,0.0,65.49117448889307,CO,7,78,46128,12.0,100.43
Illinois,IL,Des Plaines,28.676470588235286,81.7502554277628,27.58620689655172,78.63425925925927,34.505617642978685,4.07283096848476,71.32352941176471,68.38540842723695,IL,4,50,58454,10.0,276.06
Indiana,IN,Gary,32.022900774838156,169.35356257959157,35.07864130092263,68.77808901338312,60.63165387021111,4.559702655854384,67.97709922516184,82.2210032855534,IN,8,49,80155,7.25,228.12
Oklahoma,OK,Moore,20.238095238095237,101.01048768175751,11.20689655172414,54.16666666666666,23.170591350633305,1.9283859934853416,79.76190476190476,78.10794767673119,OK,5,51,55425,7.25,288.14
Illinois,IL,Oswego township,41.884561516914445,95.12284483939723,18.39080459770115,64.81481481481482,45.185160050548575,5.05167351799023,58.11543848308554,73.73903803368734,IL,0,85,51135,10.0,249.77
Florida,FL,Bonita Springs,23.57373285282492,113.51419869762181,24.535809018567637,69.92424242424242,53.818730737023856,12.979749057709114,76.42626714717507,79.9844111696486,FL,0,30,44075,8.56,261.93
California,CA,Menifee,13.970588235294118,124.62336823549433,37.241379310344826,74.31972789115646,83.14671416462309,11.638064828588657,86.02941176470588,73.67067242736798,CA,4,146,77929,13.0,326.31
Florida,FL,Sunrise,58.82352941176471,139.8799051950839,25.86206896551724,88.50308641975309,49.74936106338618,6.258489087947883,41.1764705882353,65.37574314896338,FL,0,13,84548,8.56,167.4
